;Close;CONSEBIT;ANRATING;USD;COPPER;USLVSAAR;TOLLROADJAP;TOLLROADGER;CIVILAVCHINA;AIRCRAFTHOURSUS;ISM;IFO;10yInterestRateUS;10yInterestRateEURO;HEAVYTRUCKSALES
2009-12-31;37.23;-1365.9531;1.7564102;0.69698554;3.3465;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-01;37.23;-1365.9531;1.7564102;0.696986;3.3465;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-02;37.23;-1365.9531;1.7564102;0.696986;3.3465;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-03;37.23;-1365.9531;1.7564102;0.696986;3.3465;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-04;37.55;-1365.9531;1.7564102;0.69259274;3.406;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-05;37.24;-1365.9531;1.7564102;0.69364965;3.4135;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-06;37.25;-1365.9531;1.7564102;0.6950478;3.4945;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-07;36.72;-1365.9531;1.7564102;0.69800717;3.427;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-08;36.935;-1365.9531;1.7564102;0.6980559;3.4005;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-09;36.935;-1365.9531;1.7564102;0.6980559;3.4005;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-10;36.935;-1365.9531;1.7564102;0.6980559;3.4005;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-11;37.2;-1365.9141;1.7564102;0.6874506;3.441;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-12;36.28;-1365.9141;1.7820513;0.6877579;3.3495;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-13;36.185;-1364.1394;1.7820513;0.6892749;3.4;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-14;37.1;-1337.5457;1.7820513;0.690894;3.3875;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-15;36.49;-1328.3894;1.8076923;0.6959669;3.366;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-16;36.49;-1328.3894;1.8076923;0.6959669;3.366;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-17;36.49;-1328.3894;1.8076923;0.6959669;3.366;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-18;37.115;-1328.3894;1.8076923;0.69519275;3.366;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-19;36.71;-1328.3894;1.8076923;0.7002066;3.447;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-20;35.595;-1328.3894;1.8076923;0.7084411;3.355;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-21;34.76;-1324.3285;1.8333334;0.7114906;3.295;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-22;34.18;-1324.3285;1.8333334;0.70776415;3.347;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-23;34.18;-1324.3285;1.8333334;0.70776415;3.347;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-24;34.18;-1324.3285;1.8333334;0.70776415;3.347;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
