Date;Close;USD;COPPER;USLVSAAR;TOLLROADJAP;TOLLROADGER;CIVILAVCHINA;AIRCRAFTHOURSUS;ISM;IFO;10yInterestRateUS;10yInterestRateEURO;HEAVYTRUCKSALES;Harmonized Unemployment Rate, Both sexes, All Ages, SA, Percent EA19 - Euro Zone;Unemployment Rate, U-3, SA, Percent - United States;Employment, SA, Persons - United States;Personal Consumption Expenditures, Bil Chained 2009, SAAR, Bil USD - United States;Real GDP, 1995=100, Index - Brazil;Foreign Trade, Exports, Mining, Copper, Mil USD - Chile;Money Supply, M1, SA, Bil USD - United States;Monetary Aggregates, Levels (end-of-period), Monetary aggregate M1 (EA Changing Composition), SA, Bil EUR - Euro Zone;Money Supply, M1, 100 Mil CNY - China;HCPI, All Items, Euro Area 19 Countries, 2015=100, Index - Euro Zone
2009-12-31;5957.43;0.69698554;3.3465;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-01;5957.43;0.696986;3.3465;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-02;5957.43;0.696986;3.3465;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-03;6048.3;0.696986;3.3465;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-04;6048.3;0.69259274;3.406;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-05;6031.86;0.69364965;3.4135;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-06;6034.33;0.6950478;3.4945;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-07;6019.36;0.69800717;3.427;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-08;6037.61;0.6980559;3.4005;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-09;6037.61;0.6980559;3.4005;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-10;6040.5;0.6980559;3.4005;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-11;6040.5;0.6874506;3.441;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-12;5943;0.6877579;3.3495;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-13;5963.14;0.6892749;3.4;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-14;5988.88;0.690894;3.3875;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-15;5875.97;0.6959669;3.366;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-16;5875.97;0.6959669;3.366;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-17;5918.55;0.6959669;3.366;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-18;5918.55;0.69519275;3.366;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-19;5976.48;0.7002066;3.447;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-20;5851.53;0.7084411;3.355;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-21;5746.97;0.7114906;3.295;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-22;5695.32;0.70776415;3.347;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-23;5695.32;0.70776415;3.347;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-24;5631.37;0.70776415;3.347;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-25;5631.37;0.7064142;3.393;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-26;5668.93;0.71136403;3.3395;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-27;5643.2;0.7122;3.2225;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-28;5540.33;0.7163324;3.098;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7;10.1;9.9;138013;10505.9;154.745024;3756.22494;1692.8;4500.56;221445.81;92.31
2010-01-29;5608.79;0.71945035;3.0525;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-01-30;5608.79;0.71945035;3.0525;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-01-31;5654.48;0.71945035;3.0525;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-01;5654.48;0.7196574;3.0835;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-02;5709.66;0.7167688;3.0895;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-03;5672.09;0.7187264;2.9735;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-04;5533.24;0.7256894;2.879;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-05;5434.34;0.7315021;2.8575;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-06;5434.34;0.7315021;2.8575;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-07;5484.85;0.7315021;2.8575;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-08;5484.85;0.7298737;2.913;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-09;5498.26;0.72804046;2.987;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-10;5536.37;0.73000693;2.989;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-11;5503.93;0.73496985;3.1335;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-12;5500.39;0.73475385;3.0825;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-13;5500.39;0.73475385;3.0825;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
2010-02-14;5511.1;0.73475385;3.0825;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2;10.2;9.8;138438;10488.1;152.5275562;2582.604322;1674.7;4546.051;229588.98;91.56
