Date;ETCBTC;Open*;High;Low;Close**;Volume;Market Cap;ETH Open*;ETH High;ETH Low;ETH Close**;ETH Volume;ETH Market Cap;XRP Open*;XRP High;XRP Low;XRP Close**;XRP Volume;XRP Market Cap;LTC Open*;LTC High;LTC Low;LTC Close**;LTC Volume;LTC Market Cap
2020-02-04;0.020613313;9292.84;9331.27;9112.81;9180.96;29893183716;1.67094E+11;189.86;191.11;185.4;189.25;11714191695;20735478720;0.254557;0.269576;0.24882;0.266808;2900951896;11659047307;69.77;70.33;66.9;68.2;4449652117;4365253454
2020-02-03;0.020430364;9344.68;9540.37;9248.63;9293.52;30934096509;1.69127E+11;188.61;193.44;188.01;189.87;12392875241;20800183238;0.25057;0.25637;0.248154;0.254627;2156814065;11126754979;69.99;72.39;68.97;69.78;4965069690;4466102181
2020-02-02;0.020185416;9389.82;9468.8;9217.82;9344.37;30835736946;1.70035E+11;183.53;193.08;180.17;188.62;14054425389;20660936267;0.241321;0.259259;0.237002;0.250734;2477130012;10953472898;70.8;73.25;68.13;70.23;5482993030;4494447999
2020-02-01;0.019554173;9346.36;9439.32;9313.24;9392.88;25922656496;1.70901E+11;180.11;183.85;179.75;183.67;11569697182;20116913728;0.239191;0.242612;0.237781;0.241455;1592451417;10548109281;67.91;72.28;67.66;70.82;6009767449;4531596557
2020-01-31;0.019267357;9508.31;9521.71;9230.78;9350.53;29432489719;1.70113E+11;184.74;185.41;176.3;180.16;11728616394;19729633078;0.243618;0.244273;0.234905;0.239233;1892170752;10451015954;68.18;69.38;65.79;67.88;5718104791;4342918713
2020-01-30;0.019422673;9316.02;9553.13;9230.9;9508.99;32378792851;1.72979E+11;174.92;186.26;172.37;184.69;12604789338;20223232964;0.235607;0.245961;0.231997;0.243642;2125017678;10643624488;60.01;69.74;58.78;68.16;6042169957;4360322858
2020-01-29;0.018788983;9357.47;9406.43;9269.47;9316.63;30682598115;1.69461E+11;176.35;178.84;175.05;175.05;10725267311;19165292202;0.238691;0.241267;0.235322;0.23573;1883265674;10297986176;60.66;62.25;59.78;60.08;3894445882;3842950242
2020-01-28;0.018845788;8912.52;9358.59;8908.45;9358.59;34398744403;1.70206E+11;170.88;176.37;170.74;176.37;11772875064;19307396128;0.231206;0.239931;0.230945;0.238488;2052700894;10418484690;58.77;61.15;57.76;60.67;4220742210;3880511637
2020-01-27;0.01918445;8597.31;8977.73;8597.31;8909.82;28647338393;1.62028E+11;168.01;172.92;166.9;170.93;11004476145;18709615891;0.230532;0.234634;0.226982;0.231222;1722593699;10098829103;56.28;59.58;56.08;58.76;3832184228;3758010753
2020-01-26;0.019551393;8364.41;8602.4;8325.5;8596.83;22177678796;1.56322E+11;161.18;168.22;160.28;168.08;9261861590;18394952135;0.220345;0.231344;0.219327;0.230686;1583964764;10075423155;53.69;56.48;53.3;56.21;3283750798;3594505100
2020-01-25;0.019273768;8440.12;8458.45;8296.22;8367.85;19647331549;1.52143E+11;163.07;163.23;158.63;161.28;8256956802;17649296256;0.223049;0.22315;0.217737;0.220427;1373179560;9627353633;54.56;54.56;52.77;53.7;2938756558;3433273431
2020-01-24;0.019306299;8405.57;8514.67;8266.84;8445.43;24397913026;1.53537E+11;162.9;164.31;156.75;163.05;10657671162;17840465424;0.226201;0.226314;0.215389;0.223041;1706347379;9741530849;54.64;55.42;51.36;54.53;3532776556;3486182447
2020-01-23;0.019381385;8680.65;8687.75;8333.64;8406.52;25770680779;1.52813E+11;168.3;168.31;160.3;162.93;10396868698;17824835899;0.236173;0.236284;0.223069;0.226104;1600294983;9875297162;58.35;58.48;53.39;54.63;3348002983;3492096602
2020-01-22;0.019386283;8744.21;8792.99;8636.75;8680.88;22600204051;1.57783E+11;169.61;171.01;166.77;168.29;9209827928;18409534609;0.237263;0.238689;0.234236;0.236056;1517150861;10309942100;57.64;58.99;57.32;58.35;3076205980;3729779086
2020-01-21;0.0194034;8658.99;8755.71;8544.52;8745.89;24097418512;1.58948E+11;167.06;169.91;165.82;169.7;9789369362;18560711557;0.23334;0.240264;0.231539;0.237166;1701652845;10358425747;57.23;57.96;56.27;57.65;3130143642;3684221719
2020-01-20;0.019303182;8704.63;8745.59;8560.47;8657.64;26422375678;1.57328E+11;166.9;169.11;162.33;167.12;11144529787;18276600992;0.235384;0.235748;0.225986;0.233296;1723535818;10184268786;57.78;58.09;56.23;57.2;3306438947;3655443935
2020-01-19;0.019178177;8941.45;9164.36;8620.08;8706.25;34217320471;1.58194E+11;175.47;177.25;163.68;166.97;13713374132;18257853532;0.243367;0.249569;0.229278;0.235585;2211717302;10284187005;59.45;61.79;56.18;57.8;4197776579;3693201722
2020-01-18;0.019610167;8927.21;9012.2;8827.33;8942.81;32337772627;1.62476E+11;170.75;178.53;166.79;175.37;14929342256;19173512823;0.23888;0.251187;0.233148;0.243286;2391157804;10620350242;61.3;62.17;58.53;59.41;4426051530;3795493154
2020-01-17;0.019126356;8725.21;8958.12;8677.32;8929.04;36372139320;1.62211E+11;164.49;173.07;162.78;170.78;14997091826;18669811576;0.228725;0.243156;0.226576;0.238776;2418043081;10423473280;57.64;62.89;56.9;61.49;5067456613;3927821846
