Ticker;Name;Sector;Currency;Year(s);Total Sales;Cost of Goods Sold (COGS) incl. D&A;COGS excluding D&A;Depreciation & Amortization Expense;Depreciation;Amortization of Intangibles;Gross Income;SG&A Expense;Other SG&A;Other Operating Expense;EBIT (Operating Income);Nonoperating Income - Net;Nonoperating Interest Income;Reserves Increase (Decrease);Other Income (Expense);Interest Expense;Gross Interest Expense;Unusual Expense - Net;Impairments;Goodwill;Other Intangibles;Property,Plant & Equipment;Financial Fixed Assets;Restructuring Expense;Legal Claim Expense;Excpl Chrgs - Others;Calamitous Events;Other Unusual Expense;Pretax Income;Income Taxes;Income Taxes - Current Domestic;Income Taxes - Current Foreign;Income Taxes - Deferred Domestic;Income Taxes - Deferred Foreign;Equity in Earnings of Affiliates;Consolidated Net Income;Minority Interest;Net Income;Net Income available to Common;Cash & Short-Term Investments;Cash Only;Total Short Term Investments;Short-Term Receivables;Accounts Receivables, Net;Accounts Receivables, Gross;Bad Debt/Doubtful Accounts;Other Receivables;Inventories;Finished Goods;Work in Progress;Raw Materials;Progress Payments & Other;Other Current Assets;Prepaid Expenses;Miscellaneous Current Assets;Total Current Assets;Net Property, Plant & Equipment;Property, Plant & Equipment - Gross;Buildings;Land & Improvements;Machinery & Equipment;Construction in Progress;Other Property, Plant & Equipment;Accumulated Depreciation;Buildings;Land & Improvements;Machinery & Equipment;Other Property, Plant & Equipment;Total Investments and Advances;LT Investment - Affiliate Companies;Other Long-Term Investments;Long-Term Note Receivable;Intangible Assets;Goodwill;Other Intangible Assets;Deferred Tax Assets;Other Assets;Deferred Charges;Tangible Other Assets;Total Assets;ST Debt & Curr. Portion LT Debt;Accounts Payable;Income Tax Payable;Other Current Liabilities;Dividends Payable;Accrued Payroll;Miscellaneous Current Liabilities;Total Current Liabilities;Long-Term Debt;Long-Term Debt excl Lease Obligations;Capital and Operating Lease Obligations;Provision for Risks & Charges;Deferred Tax Liabilities;Other Liabilities;Other Liabilities (excl. Deferred Income);Total Liabilities;Common Equity;Common Stock Par/Carry Value;Retained Earnings;Cumulative Translation Adjustment/Unrealized For. Exch. Gain;Other Appropriated Reserves;Unappropriated Reserves;Total Shareholders' Equity;Accumulated Minority Interest;Total Equity;Total Liabilities & Shareholders' Equity;Net Income / Starting Line;Depreciation, Depletion & Amortization;Depreciation and Depletion;Amortization of Intangible Assets;Other Funds;Funds from Operations;Changes in Working Capital;Other Assets/Liabilities;Net Operating Cash Flow;Capital Expenditures;Capital Expenditures (Fixed Assets);Capital Expenditures (Other Assets);Net Assets from Acquisitions;Sale of Fixed Assets & Businesses;Purchase/Sale of Investments;Purchase of Investments;Sale/Maturity of Investments;Other Uses;Other Sources;Net Investing Cash Flow;Cash Dividends Paid;Common Dividends;Change in Capital Stock;Sale of Common & Preferred Stock;Proceeds from Stock Options;Issuance/Reduction of Debt, Net;Change in Long-Term Debt;Issuance of Long-Term Debt;Reduction in Long-Term Debt;Change in Other Debt;Other Funds;Other Uses;Other Sources;Net Financing Cash Flow;Exchange Rate Effect;Net Change in Cash;Free Cash Flow;"0 - no fraud
1 - fraud"
573467;1&1 Drillisch AG;Specialty Telecommunications;Euro;2016;2430.058;1824.636;1816.026;8.61;0;0;605.422;368.492;368.492;-119.418;356.348;22.89;0.108;0;22.782;24.669;24.669;0;0;0;0;0;0;0;0;0;0;0;354.569;111.685;116.166;0;-4.481;0;0.012;242.896;39.285;203.611;204.072;4.562;4.562;0;167.939;0;162.836;-10.604;15.707;40.561;39.286;0;0;1.275;50.473;47.662;2.811;263.535;555.22;797.783;1.85;0;0;0;795.933;242.563;0.409;0;0;242.154;0.12;0.002;0.118;60.812;749.655;506.482;243.173;91.669;122.248;122.248;0;1843.259;16.333;295.492;5.838;729.066;0;18.462;710.604;1046.729;82.856;0;82.856;44.77;43.19;1038.533;1012.279;2256.078;-452.26;0.121;615.289;0;0;0;-452.26;39.441;-412.819;1843.259;243.357;8.61;8.61;0;144.675;392.161;-181.335;-39.182;210.826;26.919;26.919;0;0;0.606;-0.049;0.049;0;-107.017;0.215;-133.164;0;0;0;0;0;0;0;0;0;0;-74.103;83.04;8.937;-74.103;0;3.559;183.907;0
573467;1&1 Drillisch AG;Specialty Telecommunications;Euro;2017;2812.313;1938.387;1874.299;64.088;0;0;873.926;442.428;442.428;-0.58;432.078;23.328;0.288;0;23.04;8.933;8.933;15.143;0;0;0;0;0;15.143;0;0;0;0;431.33;120.959;140.261;0;-19.302;0;0;310.371;16.623;293.748;258.927;149.681;149.681;0;441.351;0;215.483;-33.638;259.506;47.871;44.551;0;0;3.32;16.874;15.052;1.822;655.777;14.702;25.601;0.695;0;0;0;24.906;10.899;0.001;0;0;10.898;1.071;0;1.071;85.214;3834.358;2932.943;901.415;144.586;0;0;0;4735.708;3.606;229.549;47.046;395.043;0;19.181;375.862;675.244;0;0;0;0;245.506;9.878;9.878;930.628;3805.08;194.441;1163.554;0;0;0;3805.08;0;3805.08;4735.708;310.372;64.088;0;0;68.465;423.622;-76.012;-26.16;347.61;15.556;15.556;0;0.264;33.678;-8.539;8.539;0;-58.699;0;-49.38;0;0;0;0;0;-250.347;0;0;0;-250.347;97.236;7.105;104.341;-153.111;0;145.119;332.054;0
573467;1&1 Drillisch AG;Specialty Telecommunications;Euro;2018;3662.46;2660.449;2505.753;154.696;5.713;148.983;1002.011;459.39;459.39;-5.8;548.421;43.924;0.1;0;43.824;4.796;4.796;24.974;24.974;0;0;0;24.974;0;0;0;0;0;562.575;156.543;168.922;0;-12.379;0;0;406.032;0;406.032;406.032;3.968;3.968;0;763.548;0;703.032;-58.139;118.655;94.208;87.433;0;0;6.775;45.434;42.551;2.883;907.158;14.259;24.942;0.111;0;0;0;24.831;10.683;0.086;0;0;10.597;0.589;0;0.589;349.514;3679.759;2932.943;746.816;0;295.361;295.361;0;5246.64;0.267;365.202;37.985;243.47;0;15.08;228.39;646.924;0;0;0;0;247.88;71.761;67.218;966.565;4280.075;194;1653.248;0;0;-0.704;4280.075;0;4280.075;5246.64;406.032;154.696;5.713;148.983;-0.39;547.96;-392.408;-258.852;155.552;15.489;15.489;0;0.243;2.538;-8.3;8.3;0;0;0.033;-21.461;-282.823;282.823;-15.352;0;0;28.371;0;0;0;28.371;-10;10;0;-279.804;0;-145.713;-142.76;0
066409;4imprint Group plc;Advertising/Marketing Services;British Pounds;2018;553.7839712;391.4078794;389.4242352;1.983644228;1.649912024;0.333732205;162.3760918;128.3294072;128.3294072;0.0045;34.04218;-0.376479997;0.187490003;0;-0.56397;0.01724908;0.01724908;0.540721168;0;0;0;0;0;0;0;0.540721168;0;0.540721168;33.10773463;6.713642016;0;6.127923248;0.585718768;0;0;26.39409262;0;26.39409262;26.39409262;21.57977387;18.5678392;3.011934673;36.80276382;0;20.625;-0.273241206;16.45100503;7.755967337;7.755967337;0;0;0;0;0;0;66.13850503;14.92776382;23.98241206;10.63206658;0;0;0;11.82474874;9.054648241;1.648084171;0;0;6.298680905;0;0;0;0;0.851130653;0;0.851130653;4.425251256;0;0;0;86.34265075;0;31.00188442;0.39258794;8.454773869;0;0;8.454773869;39.84924623;0;0;0;11.79020101;0.730998744;0;2.13163E-14;52.37044598;33.97220477;14.79428392;-38.82930276;3.971419598;0.289729899;0;33.97220477;0;33.97220477;86.34265075;33.2397276;1.983644228;1.649912024;0.333732205;-7.311360144;27.91201168;-2.387872674;0;25.524139;2.165134551;1.868900347;0.296234204;0;0.02399872;0;0;0;0;0;-2.141135831;-24.73668099;24.73668099;-0.348731405;1.291431138;1.291431138;0;0;0;0;0;0;0;0;-25.0854124;-0.759709491;-2.462118715;-1.08144;0
066409;4imprint Group plc;Advertising/Marketing Services;British Pounds;2018;553.7839712;391.4078794;389.4242352;1.983644228;1.649912024;0.333732205;162.3760918;128.3294072;128.3294072;0.0045;34.04218;-0.376479997;0.187490003;0;-0.56397;0.01724908;0.01724908;0.540721168;0;0;0;0;0;0;0;0.540721168;0;0.540721168;33.10773463;6.713642016;0;6.127923248;0.585718768;0;0;26.39409262;0;26.39409262;26.39409262;21.57977387;18.5678392;3.011934673;36.80276382;0;20.625;-0.273241206;16.45100503;7.755967337;7.755967337;0;0;0;0;0;0;66.13850503;14.92776382;23.98241206;10.63206658;0;0;0;11.82474874;9.054648241;1.648084171;0;0;6.298680905;0;0;0;0;0.851130653;0;0.851130653;4.425251256;0;0;0;86.34265075;0;31.00188442;0.39258794;8.454773869;0;0;8.454773869;39.84924623;0;0;0;11.79020101;0.730998744;0;2.13163E-14;52.37044598;33.97220477;14.79428392;-38.82930276;3.971419598;0.289729899;0;33.97220477;0;33.97220477;86.34265075;33.2397276;1.983644228;1.649912024;0.333732205;-7.311360144;27.91201168;-2.387872674;0;25.524139;2.165134551;1.868900347;0.296234204;0;0.02399872;0;0;0;0;0;-2.141135831;-24.73668099;24.73668099;-0.348731405;1.291431138;1.291431138;0;0;0;0;0;0;0;0;-25.0854124;-0.759709491;-2.462118715;-1.08144;0
066409;4imprint Group plc;Advertising/Marketing Services;British Pounds;2018;553.7839712;391.4078794;389.4242352;1.983644228;1.649912024;0.333732205;162.3760918;128.3294072;128.3294072;0.0045;34.04218;-0.376479997;0.187490003;0;-0.56397;0.01724908;0.01724908;0.540721168;0;0;0;0;0;0;0;0.540721168;0;0.540721168;33.10773463;6.713642016;0;6.127923248;0.585718768;0;0;26.39409262;0;26.39409262;26.39409262;21.57977387;18.5678392;3.011934673;36.80276382;0;20.625;-0.273241206;16.45100503;7.755967337;7.755967337;0;0;0;0;0;0;66.13850503;14.92776382;23.98241206;10.63206658;0;0;0;11.82474874;9.054648241;1.648084171;0;0;6.298680905;0;0;0;0;0.851130653;0;0.851130653;4.425251256;0;0;0;86.34265075;0;31.00188442;0.39258794;8.454773869;0;0;8.454773869;39.84924623;0;0;0;11.79020101;0.730998744;0;2.13163E-14;52.37044598;33.97220477;14.79428392;-38.82930276;3.971419598;0.289729899;0;33.97220477;0;33.97220477;86.34265075;33.2397276;1.983644228;1.649912024;0.333732205;-7.311360144;27.91201168;-2.387872674;0;25.524139;2.165134551;1.868900347;0.296234204;0;0.02399872;0;0;0;0;0;-2.141135831;-24.73668099;24.73668099;-0.348731405;1.291431138;1.291431138;0;0;0;0;0;0;0;0;-25.0854124;-0.759709491;-2.462118715;-1.08144;0
B0L4LM;888 Holdings Plc;Casinos/Gaming;British Pounds;2018;405.4283818;118.5686777;103.3444895;15.22418822;3.974788057;11.24940016;286.8597041;167.9910424;143.3923541;35.6231;83.24556;-0.074993994;0.449976006;0;-0.52497;0;0;1.499920021;0;0;0;0;0;0.67496401;7.799584112;0;0;0;81.67064517;10.42444415;1.499920021;8.924524128;0;0;-0.149992002;71.09620902;0;71.09620902;71.09620902;104.428392;104.428392;0;23.00565327;0;14.91834171;0;8.087311558;0;0;0;0;0;2.905150754;2.905150754;0;130.339196;8.636934673;53.86306533;0;0;0;0;16.959799;45.22613065;0;0;0;14.21168342;0.863693467;0.863693467;0;0;157.2707286;122.72299;34.54773869;1.099246231;0.62814;0.628140704;0;298.8379397;0;24.18341709;10.75690955;138.0339196;0;1.727386935;136.3065327;172.9742462;0;0;0;0;0;0;0;172.9742462;125.8636935;2.591080402;122.9585427;-1.570351759;0;0;125.8636935;0;125.8636935;298.8379397;81.52065317;15.22418822;3.974788057;11.24940016;-20.6988963;76.04594509;-44.02265263;-27.52353239;32.02329246;16.49912024;5.474708078;11.02441216;6.899632099;0;0;0;0;0;0;-23.39875233;-42.44773661;42.44773661;-0.524972008;0.074996001;0;0;0;0;0;0;0;0;0;-42.97270861;-0.599968009;-34.9481365;-15.89915;0
B0L4LM;888 Holdings Plc;Casinos/Gaming;British Pounds;2018;405.4283818;118.5686777;103.3444895;15.22418822;3.974788057;11.24940016;286.8597041;167.9910424;143.3923541;35.6231;83.24556;-0.074993994;0.449976006;0;-0.52497;0;0;1.499920021;0;0;0;0;0;0.67496401;7.799584112;0;0;0;81.67064517;10.42444415;1.499920021;8.924524128;0;0;-0.149992002;71.09620902;0;71.09620902;71.09620902;104.428392;104.428392;0;23.00565327;0;14.91834171;0;8.087311558;0;0;0;0;0;2.905150754;2.905150754;0;130.339196;8.636934673;53.86306533;0;0;0;0;16.959799;45.22613065;0;0;0;14.21168342;0.863693467;0.863693467;0;0;157.2707286;122.72299;34.54773869;1.099246231;0.62814;0.628140704;0;298.8379397;0;24.18341709;10.75690955;138.0339196;0;1.727386935;136.3065327;172.9742462;0;0;0;0;0;0;0;172.9742462;125.8636935;2.591080402;122.9585427;-1.570351759;0;0;125.8636935;0;125.8636935;298.8379397;81.52065317;15.22418822;3.974788057;11.24940016;-20.6988963;76.04594509;-44.02265263;-27.52353239;32.02329246;16.49912024;5.474708078;11.02441216;6.899632099;0;0;0;0;0;0;-23.39875233;-42.44773661;42.44773661;-0.524972008;0.074996001;0;0;0;0;0;0;0;0;0;-42.97270861;-0.599968009;-34.9481365;-15.89915;0
B0L4LM;888 Holdings Plc;Casinos/Gaming;British Pounds;2018;405.4283818;118.5686777;103.3444895;15.22418822;3.974788057;11.24940016;286.8597041;167.9910424;143.3923541;35.6231;83.24556;-0.074993994;0.449976006;0;-0.52497;0;0;1.499920021;0;0;0;0;0;0.67496401;7.799584112;0;0;0;81.67064517;10.42444415;1.499920021;8.924524128;0;0;-0.149992002;71.09620902;0;71.09620902;71.09620902;104.428392;104.428392;0;23.00565327;0;14.91834171;0;8.087311558;0;0;0;0;0;2.905150754;2.905150754;0;130.339196;8.636934673;53.86306533;0;0;0;0;16.959799;45.22613065;0;0;0;14.21168342;0.863693467;0.863693467;0;0;157.2707286;122.72299;34.54773869;1.099246231;0.62814;0.628140704;0;298.8379397;0;24.18341709;10.75690955;138.0339196;0;1.727386935;136.3065327;172.9742462;0;0;0;0;0;0;0;172.9742462;125.8636935;2.591080402;122.9585427;-1.570351759;0;0;125.8636935;0;125.8636935;298.8379397;81.52065317;15.22418822;3.974788057;11.24940016;-20.6988963;76.04594509;-44.02265263;-27.52353239;32.02329246;16.49912024;5.474708078;11.02441216;6.899632099;0;0;0;0;0;0;-23.39875233;-42.44773661;42.44773661;-0.524972008;0.074996001;0;0;0;0;0;0;0;0;0;-42.97270861;-0.599968009;-34.9481365;-15.89915;0
B6XZKY;A.G. BARR p.l.c.;Beverages: Non-Alcoholic;British Pounds;2018;279;157.9;149.1;8.8;7.4;1.4;121.1;75.3;74.2;0;45.8;-0.4;0;0;-0.4;0.2;0.2;0.7;0;0;0;0;0;0;0;0.7;0;0.7;44.5;8.7;8.6;0;0.2;0;0;35.8;0;35.8;35.8;21.8;21.8;0;54.5;0;55.1;-0.6;0;20.4;10.8;0;9.6;0;3.2;3.2;0;99.9;95.3;162.5;62.2;0;91.3;8.3;0;67.2;6.1;0;60.5;0;0;0;0;0;103.1;38.6;64.5;0.2;0;0;0;298.5;0;20.2;4;37.5;0;0;37.5;61.7;0;0;0;13.5;13.5;0;0;88.7;209.8;4.7;202;0;2.4;-0.2;209.8;0;209.8;298.5;44.5;8.8;7.4;1.4;-6.6;46.7;-2.3;-1.5;44.4;8.9;8.9;0;0;0;0;0;0;0;0;-8.9;-17.9;17.9;-10.7;0.1;0;-0.1;0;0;0;0;0;0;0;-28.7;0;6.8;17.6;0
