EBIT Margin;NI Margin;Minorities;NI to Common Margin;EBITDA margin;Total Sales;EBIT (Operating Income);EBITDA;Working Capital;Total Capital;Total Debt;Net Debt;Days of Inventory on Hand;Days of Sales Outstanding;Days of Payables Outstanding;ST Debt & Curr. Portion LT Debt;Accounts Payable;Provision for Risks & Charges;Total Equity;Total Liabilities & Shareholders' Equity;Working Capital;Net Debt;Days of Inventory on Hand;Days of Sales Outstanding;Days of Payables Outstanding;Long Term Debt Maturities;Free Cash Flow;"0 - no fraud
1- fraud"
0.092449923;0.104776579;0.136;0.104776579;0.185670262;0;0;0;-0.111;0.353;0;-0.278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.018;0
0.29054326;0.207243461;0.515;0.207243461;0.361368209;0.914483821;5.016666667;2.726141079;4.956;6.086;0.345;-3.721;0;268.9396378;242.9607935;0;0.712715856;0.333333333;15.26345609;3.516298021;-45.64864865;12.38489209;0;0;0;0;-0.951;0
0.396205218;0.375608538;3.009;0.375608538;0.424915741;2.223742455;3.396121884;2.79064588;14.745;16.794;0.995;-7.645;0;251.6864312;123.5529077;0.547945205;-0.219065078;28;1.751959589;1.56721227;1.975181598;1.054555227;0;-0.06415271;-0.491469772;0;-2.821;1
-0.114735658;0.080539933;0.358;0.080539933;-0.027446569;-0.445137935;-1.160680529;-1.035840188;13.284;15.174;0.711;-3.345;5.369527145;789.4510686;121.2745456;-0.041297935;0.292253521;-0.013793103;-0.084562314;-0.0997038;-0.099084435;-0.562459124;0;2.136645329;-0.018440376;0;-4.687;1
0.592746234;0.519066591;5.232566;0.519066591;0.622127066;1.267878965;-12.71629412;-52.40565574;54.909334;64.142208;16.719139;-24.225785;5.15742944;545.6145009;209.6255456;4.529593846;1.013305177;-0.181097902;2.278923391;2.846608431;3.133493978;6.242387145;-0.039500258;-0.3088685;0.728520561;0;-4.997;1
0.779429656;0.236990287;11.931636;0.236990287;0.82776706;3.994336616;5.567286049;5.645181608;13.982077;98.485717;39.22274;21.092293;1.234658285;287.0707115;439.3884676;7.873095701;8.731976059;0.273228483;0.249665579;1.148930095;-0.745360652;-1.870654676;-0.760605879;-0.473857988;1.096063561;2.343313769;-33.492;1
0.618799767;0.381892414;126.105;0.340967162;0.644318566;0.112118451;0.179526561;0.167360655;-78.278;1822.442;633.389;451.601;0;71.63709121;0;7.86264431;-0.469901791;0;0.135797786;0.107525609;-1.621717789;-0.023464057;0;0.018459684;0;7.86264431;174.367;0
0.604075608;0.354688729;109.408;0.314193982;0.637316279;-0.058475848;-0.08087914;-0.068708088;265.741;2097.869;911.718;656.684;0;86.43302471;0;-0.838721183;0.456190061;0;0.00484239;0.148260101;-4.394836352;0.454124327;0;0.206540121;0;-0.838721183;200.574;0
0.572737981;0.355821684;128.048;0.319540035;0.598017099;0.150790597;0.091091039;0.079828771;348.77;2412.088;1427.319;1089.672;0;90.23713834;0;0.177884615;-0.087501871;0;-0.152247969;0.152496355;0.312443319;0.659355185;0;0.04401227;0;0.177884615;231.58;1
0.501747571;0.407512608;152.736;0.371750686;0.519113753;0.025279118;-0.101803399;-0.109997872;248.14;2315.675;1394.077;1206.498;0;116.0675942;0;-0.002073469;0.256019946;0;-0.030111385;0.004614023;-0.288528256;0.107212078;0;0.286250832;0;-0.002073469;161.016;1
