Total Sales;Cost of Goods Sold (COGS) incl. D&A;Gross Income;Gross Margin;SG&A Expense;Other Operating Expenses;EBIT (Operating Income);EBIT Margin;Nonoperating Income - Net;Interest Expense;Unusual Expense - Net;Income Taxes;Equity in Earnings of Affiliates;Consolidated Net Income;NI Margin;Minorities;NI to Common Margin;EPS Diluted;EBITDA;EBITDA margin;Total Sales;Cost of Goods Sold (COGS) incl. D&A;Gross Income;SG&A Expense;Other Operating Expenses;EBIT (Operating Income);Nonoperating Income - Net;Interest Expense;Unusual Expense - Net;Income Taxes;Equity in Earnings of Affiliates;Consolidated Net Income;Minorities;NI to Common Margin;EPS Diluted;EBITDA;Cash & Short-Term Investments;Short-Term Receivables;Inventories;Other Current Assets;Total Current Assets;Total Current Assets/Total Assets;Net Property, Plant & Equipment;Total Investments and Advances;Long-Term Note Receivable;Intangible Assets;Deferred Tax Assets;Other Assets;Total Assets;ST Debt & Curr. Portion LT Debt;Accounts Payable;Income Tax Payable;Other Current Liabilities;Total Current Liabilities;Total Current Liabilities/Total Assets;Long-Term Debt;Provision for Risks & Charges;Deferred Tax Liabilities;Other Liabilities;Total Liabilities;Total Liabilities/Total Assets;Common Equity;Total Shareholders' Equity;Total Shareholders' Equity/Total Assets;Total Equity;Total Equity/Total Assets;Total Liabilities & Shareholders' Equity;Total Liabilities & Shareholders' Equity/Total Assets;Book Value per Share;Tangible Book Value per Share;Working Capital;Total Capital;Total Debt;Net Debt;Days of Inventory on Hand;Days of Sales Outstanding;Days of Payables Outstanding;Long Term Debt Maturities;Cash & Short-Term Investments;Short-Term Receivables;Inventories;Other Current Assets;Total Current Assets;Net Property, Plant & Equipment;Total Investments and Advances;Long-Term Note Receivable;Intangible Assets;Deferred Tax Assets;Other Assets;Total Assets;ST Debt & Curr. Portion LT Debt;Accounts Payable;Income Tax Payable;Other Current Liabilities;Total Current Liabilities;Long-Term Debt;Provision for Risks & Charges;Deferred Tax Liabilities;Other Liabilities;Total Liabilities;Common Equity;Total Shareholders' Equity;Total Equity;Total Liabilities & Shareholders' Equity;Book Value per Share;Tangible Book Value per Share;Working Capital;Total Capital;Total Debt;Net Debt;Days of Inventory on Hand;Days of Sales Outstanding;Days of Payables Outstanding;Long Term Debt Maturities;Net Income / Starting Line;Depreciation, Depletion & Amortization;Deferred Taxes & Investment Tax Credit;Other Funds;Funds from Operations;Changes in Working Capital;Net Operating Cash Flow;Capital Expenditures;Sale of Fixed Assets & Businesses;Purchase/Sale of Investments;Net Investing Cash Flow;Cash Dividends Paid;Change in Capital Stock;Issuance/Reduction of Debt, Net;Net Financing Cash Flow;Net Change in Cash;Free Cash Flow;Net Income / Starting Line;Depreciation, Depletion & Amortization;Deferred Taxes & Investment Tax Credit;Other Funds;Funds from Operations;Changes in Working Capital;Net Operating Cash Flow;Capital Expenditures;Sale of Fixed Assets & Businesses;Purchase/Sale of Investments;Net Investing Cash Flow;Cash Dividends Paid;Change in Capital Stock;Issuance/Reduction of Debt, Net;Net Financing Cash Flow;Net Change in Cash;Free Cash Flow;Total return
2430.058;1824.636;605.422;0.249138909;368.492;-119.418;356.348;0.146641767;22.89;24.669;0;111.685;0.012;242.896;0.099954816;203.611;0.083788535;1.74;364.958;0.150184893;2.860016583;3.003176853;2.48446322;2.211147324;170.5775862;4.969878206;168.5555556;5.12285927;-1;4.584808481;0;4.303521911;3.445752091;3.445752091;1.12195122;2.810974782;4.562;167.939;40.561;50.473;263.535;0.142972312;555.22;0.12;60.812;749.655;91.669;122.248;1843.259;16.333;295.492;5.838;729.066;1046.729;0.56786865;82.856;44.77;43.19;1038.533;2256.078;1.223961473;-452.26;-452.26;-0.2453589;-412.819;-0.223961473;1843.259;0;-3737.68595;-9933.181818;-783.194;-353.071;99.189;94.627;7.295955193;21.7820943;37.47971988;16.332;-0.963040379;0.375444315;0.252501235;2.923585199;-0.093690032;49.41954232;-0.759519038;0;0.981458231;10.34798217;0;1.676424636;22.53458213;2.652062142;-0.278724981;5.18612702;4.04316467;-0.099146507;15.4474651;0.745191531;118.646659;5.720938754;-2.28110633;-2.28110633;-2.169382731;1.676424636;-580.8295968;21490.27749;-10.41067481;-1.792186084;0.070357941;-4.07600039;-0.51885884;-0.562910199;-0.034717516;22.53314121;243.357;8.61;-4.481;144.675;392.161;-181.335;210.826;26.919;0.606;-0.049;-133.164;0;0;0;-74.103;3.559;183.907;2.501892277;-0.761323945;0;-7.441738279;3.718691341;20.86339523;1.818001978;-0.834569601;0;-1.105150215;-0.214672839;-1;0;-1;-0.250781037;-1.018377759;-2.031279265;0.47104324
2812.313;1938.387;873.926;0.310749906;442.428;-0.58;432.078;0.153637949;23.328;8.933;15.143;120.959;0;310.371;0.110361471;293.748;0.104450678;1.9063;496.166;0.176426308;0.15730283;0.062341749;0.443498915;0.20064479;-0.995143111;0.212516978;0.019134993;-0.637885605;0;0.083037113;-1;0.277793788;0.442692192;0.442692192;0.095574713;0.359515341;149.681;441.351;47.871;16.874;655.777;0.138474965;14.702;1.071;85.214;3834.358;144.586;0;4735.708;3.606;229.549;47.046;395.043;675.244;0.142585649;0;0;245.506;9.878;930.628;0.196512961;3805.08;3805.08;0.803487039;3805.08;0.803487039;4735.708;0;21.52625;-0.165632666;-19.467;3808.686;3.606;-146.075;8.325912215;39.53878;49.24712613;0.529;31.81039018;1.628043516;0.180222381;-0.665682642;1.488386742;-0.973520406;7.925;0.401269486;4.114830155;0.57726167;-1;1.569203785;-0.779219984;-0.223163402;7.058581706;-0.458151937;-0.354900839;-1;-1;4.684325075;-0.990488506;-0.587501851;-9.413478972;-9.413478972;-10.21730831;1.569203785;-1.005759245;-0.999983325;-0.975144089;-11.78730907;-0.963645162;-2.543692604;0.141168222;0.815196439;0.313967295;-0.967609601;310.372;64.088;-19.303;68.465;423.622;-76.012;347.61;15.556;33.678;-8.539;-49.38;0;0;-250.347;-153.111;145.119;332.054;0.275377326;6.443437863;3.307743807;-0.526766891;0.080224704;-0.580820029;0.648800433;-0.422118206;54.57425743;173.2653061;-0.629179057;0;0;0;1.066191652;39.77521776;0.805553894;-0.43368244
413.7130396;290.6499689;123.0630707;0.297459976;94.8373238;0.05484;28.17091;0.068092874;-0.681835249;0;2.178907599;7.168161325;0;18.1419997;0.043851651;18.1419997;0.043851651;0.6449;29.94146;0.072372532;0.271215049;0.260513089;0.297227097;0.296104389;0.496316508;0.300683102;-0.030964028;0;2.879886826;0.294202642;0;0.221300403;0.221300403;0.221300403;0.220015134;0.30516312;17.54784931;30.06676648;3.382025655;2.143001659;53.1396431;0.72385131;15.32634646;0;0;0.875652491;4.070732003;0;73.41237405;0;26.88706349;0;5.778335289;32.66539878;0.444957668;0;15.71885243;1.295674341;0;49.67992555;0.676724138;23.73244851;23.73244851;0.323275862;23.73244851;0.323275862;73.41237405;0;0.84501;0.813828189;20.47424432;23.73244851;0;-17.54784931;4.023609693;25.13050471;29.35853609;0;0.407092927;0.117636557;0.1176609;-0.108504052;0.186075868;0.244326432;0;0;0.065750789;0.367331791;0;0.205088632;0;0.349296659;0;0.080249668;0.292358707;0;-0.004553726;1.363483183;0;0.193805306;0.229412901;0.229412901;0.229412901;0.205088632;0.22417315;0.231404555;0.048503829;0.229412901;0;0.407092927;-0.126176622;-0.073078326;-0.000506736;0;25.71407416;1.770547705;0;-17.26524878;10.21937309;4.357815197;14.57718829;2.43533686;0.014081376;0;-2.421255485;8.997999033;0.048173127;0;-8.949825905;2.447194861;3.4277;0.229110389;0.380831637;0;2.124234209;-0.387213191;-2.519371473;0.055651557;-0.662458818;-0.806183995;0;-0.660996804;0.431401021;0;0;0.423737644;45.7354143;4.767431687;0.14836574
487.2707142;341.8795159;145.3911983;0.298378692;112.952712;-0.07377;32.51226;0.066723197;-0.587810486;0;0.352533161;9.111506859;0;22.46040019;0.046094295;22.46040019;0.046094295;0.7986;34.46284;0.07072627;0.177798782;0.176258567;0.181436458;0.191015388;-2.345185996;0.154107553;-0.137899535;0;-0.838206466;0.271107952;0;0.238033324;0.238033324;0.238033324;0.238331524;0.151007332;22.74403992;34.58214748;3.959342081;0;61.28552948;0.762104373;13.91905378;0;0;0.841249307;4.370356681;0;80.41618924;0;30.03880983;0;5.312141933;35.35095177;0.439599937;0;13.38458695;0.564036223;0;49.29957494;0.613055349;31.1166143;31.1166143;0.386944651;31.1166143;0.386944651;80.41618924;0;1.10792;1.077970222;25.93457771;31.1166143;0;-22.74403992;3.918923332;24.21328935;30.33652767;0;0.296115525;0.15017847;0.170701374;-1;0.153292079;-0.091821797;0;0;-0.039288626;0.073604619;0;0.095403742;0;0.117221665;0;-0.080679527;0.082213997;0;-0.148501011;-0.564677478;0;-0.007656022;0.311142181;0.311142181;0.311142181;0.095403742;0.311132413;0.324567318;0.266692792;0.311142181;0;0.296115525;-0.026018021;-0.036498087;0.033312001;0;32.05722253;1.950579958;0;-11.88906439;22.1187381;-0.354862676;21.76387542;1.834104244;0.002329514;0;-1.83177473;12.30371793;-1.055269969;0;-13.3589879;7.053769244;8.02828;0.246680021;0.101681673;0;-0.311387601;1.164392856;-1.081431327;0.493009145;-0.246878625;-0.834567706;0;-0.243460782;0.36738378;-22.9057809;0;0.492653381;1.882389693;1.34217697;0.13770008
385.9779175;114.9484927;271.0294248;0.70218894;178.3887956;44.83806;47.80257;0.12384794;-1.630479987;0;2.223375101;5.706662759;-0.074112503;38.16793923;0.098886329;38.16793923;0.098886329;0.1045;61.88395;0.160330286;0.276127366;0.20286796;0.309964359;0.309044409;0.370074972;0.261363402;0.132293743;0;-0.852948896;1.906219989;0.132293502;0.976715775;0.976715775;0.976715775;0.945996276;0.235902267;139.6835674;26.30194634;0;3.641807955;169.6273217;0.550709406;7.364544976;1.213935985;0.56650346;128.3534982;0.890219722;0;308.016024;0;30.75304496;0.080929066;143.2444462;174.0784203;0.565160273;0;0;1.537652248;0;175.6160725;0.570152391;132.3999514;132.3999514;0.429847609;132.3999514;0.429847609;308.016024;0;0.37277;0.011392617;-4.451098612;132.3999514;0;-139.6835674;0;23.85664542;80.81836902;0;0.152741377;0.088944908;0;0;0.167197523;-0.030839032;0.118262655;0.043711812;0.202671462;0.093412374;0;0.175213093;0;0.526158686;-0.957399518;0.111785094;0.153660898;0;0;0.333144499;0;0.155022442;0.203109053;0.203109053;0.203109053;0.175213093;0.198116543;0.212083327;-0.199942165;0.203109053;0;0.152741377;0;-0.088851827;0.076079977;0;43.87460199;14.08137564;0;-1.778700081;56.17727755;-5.410212745;50.7670648;13.48847561;0;0;-13.48847561;41.9476769;0.815237537;0;-41.13243936;-4.446750201;4.1503;1.062516164;0.1566439;0;0.698440253;0.733895908;-1.230886664;-0.090713893;0.431093176;0;-1;0.296084386;0.197903032;0.38391428;0;0.19472033;-1.438307162;-0.766880821;0.1489085
420.7102792;122.7654026;297.9448766;0.708194906;182.9445216;58.39316;56.6072;0.134551502;-2.407167144;0;39.44644183;4.814329515;-0.155300952;9.783959981;0.023255814;9.783959981;0.023255814;0.0264;71.59374;0.170173498;0.08998536;0.068003588;0.099308228;0.025538184;0.302312366;0.184187377;0.476354916;0;16.74169451;-0.156366914;1.09547573;-0.74366025;-0.74366025;-0.74366025;-0.747368421;0.156903203;132.7665866;29.79116614;0;2.883016078;165.4407688;0.564866229;6.653114027;0.961005359;0.591387914;118.1297357;1.108852338;0;292.8848642;0;28.38661985;3.030863057;177.7859915;209.2034744;0.714285714;0;0;0;0;209.2034744;0.714285714;83.68138976;83.68138976;0.285714286;83.68138976;0.285714286;292.8848642;0;0.23493;-0.096713387;-43.7627056;83.68138976;0;-132.7665866;0;24.332643;87.91579353;0;-0.04951893;0.132660137;0;-0.208355818;-0.024680888;-0.09660216;-0.208355818;0.043926393;-0.079653166;0.245593992;0;-0.049124586;0;-0.076949294;36.45085936;0.241137064;0.201777188;0;0;-1;0;0.191254715;-0.367965102;-0.367965102;-0.367965102;-0.049124586;-0.369772246;-9.489128182;8.831888577;-0.367965102;0;-0.04951893;0;0.01995241;0.087819447;0;14.5982895;14.98654188;0;3.494271422;33.07910279;41.54300468;74.62210748;15.84069711;0;0;-15.84069711;54.74358561;-0.310601904;0;-55.05418751;5.435533323;15.5301;-0.667272435;0.064281094;0;-2.964508497;-0.411165791;-8.678626819;0.4698921;0.174387497;0;0;0.174387497;0.305044514;-1.380995587;0;0.338461525;-2.222360843;2.741922271;0.21523952
257.1;137.9;119.2;0.463632828;76.8;0;42.4;0.164916375;0.2;0.2;-0.7;7.5;0;35.6;0.138467522;35.6;0.138467522;0.3057;51;0.198366394;-0.005800464;-0.005050505;-0.006666667;-0.002597403;0;-0.013953488;-1.25;0;-2;0.071428571;0;0.037900875;0.037900875;0.037900875;0.035920027;-0.007782101;10.2;48.3;17.3;4.4;80.2;0.289739884;89.4;0;0;106;1.2;0;276.8;0.5;15.8;2.7;37.7;56.7;0.20484104;0.1;27.4;12.4;0;96.6;0.348988439;180.2;180.2;0.651011561;180.2;0.651011561;276.8;0;1.55794;0.641504375;23.5;180.8;0.6;-9.6;43.54060914;69.777324;69.54897963;0.1;0.291139241;-0.034;0.108974359;0.62962963;0.052493438;0.048065651;0;0;-0.013953488;3;0;0.027849981;-0.285714286;-0.577540107;-0.25;376;0.35645933;-0.994285714;0.062015504;-0.008;-1;0.082959641;0.000555247;0.000555247;0.000555247;0.027849981;-0.000750428;0.020704883;-0.316860465;-0.088250126;-0.967032967;-1.932038835;0.023746287;-0.002285446;-0.407919056;-0.857142857;43.1;8.6;0;-5.8;45.9;2.7;48.6;12.4;0.1;0;-12.3;15.6;0.3;-17.5;-32.8;3.5;20.6;0.043583535;0.023809524;0;0.054545455;0.038461538;-1.178807947;0.670103093;-0.364102564;-0.888888889;0;-0.641399417;0.090909091;-1.15;-7.034482759;1.447761194;-1.188172043;205;-0.15392059
264.1;148;116.1;0.43960621;70.9;0;45.2;0.171147293;1.7;0.3;1.7;7.7;0;37.2;0.140855736;37.2;0.140855736;0.3224;53.4;0.202196138;0.02722676;0.073241479;-0.026006711;-0.076822917;0;0.066037736;7.5;0.5;-3.428571429;0.026666667;0;0.04494382;0.04494382;0.04494382;0.054628721;0.047058824;15;53.3;18;2.9;89.2;0.309614717;94.3;0;0;104.5;0.1;0;288.1;0.1;17.8;3.6;37.1;58.6;0.203401597;0;15.2;13.2;0;87;0.30197848;201.1;201.1;0.69802152;201.1;0.69802152;288.1;0;1.75444;0.84276098;30.6;201.2;0.1;-14.9;43.52871622;70.20825445;41.23734635;0.1;0.470588235;0.103519669;0.040462428;-0.340909091;0.112219451;0.054809843;0;0;-0.014150943;-0.916666667;0;0.040823699;-0.8;0.126582278;0.333333333;-0.015915119;0.0335097;-1;-0.445255474;0.064516129;0;-0.099378882;0.115982242;0.115982242;0.115982242;0.040823699;0.126128092;0.313726005;0.30212766;0.112831858;-0.833333333;0.552083333;-0.000273145;0.006175795;-0.407074747;0;44.9;8.2;0;-7.4;45.7;-3.8;41.9;10.8;4.2;0;-11.1;16.9;-8.5;-0.1;-25.5;5.3;14.2;0.041763341;-0.046511628;0;0.275862069;-0.004357298;-2.407407407;-0.137860082;-0.129032258;41;0;-0.097560976;0.083333333;-29.33333333;-0.994285714;-0.222560976;0.514285714;-0.310679612;0.09652174
183465.4422;126397.9238;57067.51841;0.31105323;57558.84155;0;-491.32313;-0.002678015;2059.518885;3203.696045;874.9590039;1150.907613;504.7840407;-3156.582868;-0.017205327;-3439.261931;-0.018746102;-624.2712;16301.15929;0.088851389;-0.323300692;-0.208458585;-0.48787282;-0.304215173;-1;-1.01815273;-0.56629564;0.860561587;-0.960449084;-0.672204739;-0.713557777;-1.507350594;-1.646429965;-1.646429965;-3.50844303;-0.724565788;29304.97935;38208.561;6076.7121;4962.8832;78553.13565;0.178034479;292528.1268;24067.1637;5350.60845;25519.371;14529.12255;676.7568;441224.285;14204.84325;34549.84455;1494.5046;25413.62775;75662.82015;0.171483807;93900.006;26865.83505;14634.8658;3940.69845;215004.2255;0.487290099;220354.8339;220354.8339;0.49941683;226220.0595;0.512709901;441224.285;0;10625.15753;9394.654291;2890.3155;328459.6832;108104.8493;78799.8699;16.52060148;70.26915634;99.07171163;1409.91;-0.105521299;0.178101171;0.132592114;-0.032904508;0.037807163;-0.032210891;0.004106663;-0.15980645;0.932735789;-0.176430463;-0.391902077;0.002210447;0.548856156;0.002838657;0.002520885;0.265159271;0.160450066;0.198152267;-0.190663131;0.088563643;-0.128227398;0.104106887;-0.085818872;-0.085818872;-0.078607608;0.002210447;-0.069281424;-0.129377186;-0.724474296;-0.000373881;0.234893199;0.438484463;0.168164229;0.604384866;0.281933663;-0.087853116;1648.9612;16792.48242;0;-7248.698824;11192.7448;-2685.451097;8507.293699;13447.44684;2786.407905;6542.001167;-5498.780817;6770.836599;-3183.504683;11017.75299;901.8808194;545.166764;-11710.98974;-0.868900347;-0.685726055;0;-0.516081139;-0.780669399;-2.045169182;-0.841284146;-0.719675399;-0.502684033;-0.803788522;-0.399764038;-0.83607849;-0.372278711;0.41576895;-1.023015021;-0.837896617;-0.671736349;0.062611103
204051.007;143727.9871;60323.01999;0.295627161;57282.79781;0;3040.22217;0.014899325;3119.36028;3745.870269;2050.995869;1444.270403;-197.8452607;-1279.399353;-0.006269998;-1549.787875;-0.0075951;-388.0181;22923.67087;0.112342846;0.112204046;0.137107183;0.057046489;-0.004795853;0;-7.187826268;0.514606301;0.169233977;1.344105107;0.254896907;-1.391940404;-0.594688495;-0.549383587;-0.549383587;-0.378446259;0.40626016;13467.2688;33395.3544;6039.1896;96410.0196;149311.8324;0.380000316;192652.6284;16412.4588;2870.7852;27064.746;2765.3784;1847.7192;392925.5484;15110.3748;32552.1;1748.5128;42088.3152;91499.3028;0.232866769;93477.2304;8048.1192;3751.242;1302.084;198077.9784;0.504110713;189788.0436;189788.0436;0.483012735;194847.57;0.495889287;392925.5484;0;9143.846615;7839.887307;57812.5296;298375.6488;108587.6052;95120.3364;15.38428323;64.04141175;85.22461941;2802.5808;-0.540444351;-0.125971941;-0.006174803;18.42621168;0.900774949;-0.341421864;-0.318055962;-0.463465655;0.060556939;-0.809666524;1.730255832;-0.109465272;0.063748085;-0.0578221;0.169961471;0.656131726;0.209303362;-0.004502402;-0.700432941;-0.743677732;-0.669580401;-0.078725183;-0.138716223;-0.138716223;-0.138681289;-0.109465272;-0.139415431;-0.165494859;19.00215188;-0.091591254;0.004465627;0.207112861;-0.068781894;-0.088627001;-0.139768376;0.987772837;4227.293737;19883.4487;0;-5130.787094;18979.95534;-1859.745451;17120.20989;23734.83644;4965.916044;5717.728034;-32182.82907;3402.938484;92.32778833;5420.960143;2116.944289;-11930.06922;-10017.56503;1.563610192;0.184068454;0;-0.292178194;0.695737345;-0.307473723;1.012415522;0.765006898;0.782192778;-0.125997094;4.852720839;-0.497412405;-1.029001933;-0.507979518;1.34725503;-22.88333921;-0.144601332;0.41500698
